featurePos,retentionTimePos,InChIKey2DPos,featureNeg,retentionTimeNeg,InChIKey2DNeg
https://enpkg.commons-lab.org/kg/lcms_feature_mzspec:MSV000087728:VGF156_A06_features_ms2_pos.mgf:scan:23,4.836416666666667,https://enpkg.commons-lab.org/kg/LUZSWWYKKLTDHU,https://enpkg.commons-lab.org/kg/lcms_feature_mzspec:MSV000087728:VGF156_A06_features_ms2_neg.mgf:scan:62,4.9133,https://enpkg.commons-lab.org/kg/LUZSWWYKKLTDHU
https://enpkg.commons-lab.org/kg/lcms_feature_mzspec:MSV000087728:VGF156_A06_features_ms2_pos.mgf:scan:266,4.052433333333333,https://enpkg.commons-lab.org/kg/RCMABBHQYMBYKV,https://enpkg.commons-lab.org/kg/lcms_feature_mzspec:MSV000087728:VGF156_A06_features_ms2_neg.mgf:scan:155,4.052933333333333,https://enpkg.commons-lab.org/kg/RCMABBHQYMBYKV
https://enpkg.commons-lab.org/kg/lcms_feature_mzspec:MSV000087728:VGF156_A06_features_ms2_pos.mgf:scan:266,4.052433333333333,https://enpkg.commons-lab.org/kg/RCMABBHQYMBYKV,https://enpkg.commons-lab.org/kg/lcms_feature_mzspec:MSV000087728:VGF156_A06_features_ms2_neg.mgf:scan:55,3.563283333333333,https://enpkg.commons-lab.org/kg/RCMABBHQYMBYKV
https://enpkg.commons-lab.org/kg/lcms_feature_mzspec:MSV000087728:VGF156_A06_features_ms2_pos.mgf:scan:266,4.052433333333333,https://enpkg.commons-lab.org/kg/RCMABBHQYMBYKV,https://enpkg.commons-lab.org/kg/lcms_feature_mzspec:MSV000087728:VGF156_A06_features_ms2_neg.mgf:scan:148,4.44895,https://enpkg.commons-lab.org/kg/RCMABBHQYMBYKV
https://enpkg.commons-lab.org/kg/lcms_feature_mzspec:MSV000087728:VGF156_A06_features_ms2_pos.mgf:scan:287,2.885383333333333,https://enpkg.commons-lab.org/kg/JHXAZBBVQSRKJR,https://enpkg.commons-lab.org/kg/lcms_feature_mzspec:MSV000087728:VGF156_A06_features_ms2_neg.mgf:scan:24,4.8358333333333325,https://enpkg.commons-lab.org/kg/JHXAZBBVQSRKJR
https://enpkg.commons-lab.org/kg/lcms_feature_mzspec:MSV000087728:VGF156_A06_features_ms2_pos.mgf:scan:287,2.885383333333333,https://enpkg.commons-lab.org/kg/JHXAZBBVQSRKJR,https://enpkg.commons-lab.org/kg/lcms_feature_mzspec:MSV000087728:VGF156_A06_features_ms2_neg.mgf:scan:14,4.73675,https://enpkg.commons-lab.org/kg/JHXAZBBVQSRKJR
https://enpkg.commons-lab.org/kg/lcms_feature_mzspec:MSV000087728:VGF156_A06_features_ms2_pos.mgf:scan:287,2.885383333333333,https://enpkg.commons-lab.org/kg/JHXAZBBVQSRKJR,https://enpkg.commons-lab.org/kg/lcms_feature_mzspec:MSV000087728:VGF156_A06_features_ms2_neg.mgf:scan:29,4.68605,https://enpkg.commons-lab.org/kg/JHXAZBBVQSRKJR
https://enpkg.commons-lab.org/kg/lcms_feature_mzspec:MSV000087728:VGF156_A06_features_ms2_pos.mgf:scan:39,4.920116666666667,https://enpkg.commons-lab.org/kg/LUZSWWYKKLTDHU,https://enpkg.commons-lab.org/kg/lcms_feature_mzspec:MSV000087728:VGF156_A06_features_ms2_neg.mgf:scan:62,4.9133,https://enpkg.commons-lab.org/kg/LUZSWWYKKLTDHU
https://enpkg.commons-lab.org/kg/lcms_feature_mzspec:MSV000087728:VGF156_A06_features_ms2_pos.mgf:scan:139,3.56325,https://enpkg.commons-lab.org/kg/ACHDMUPTZYZIGR,https://enpkg.commons-lab.org/kg/lcms_feature_mzspec:MSV000087728:VGF156_A06_features_ms2_neg.mgf:scan:164,3.690116666666667,https://enpkg.commons-lab.org/kg/ACHDMUPTZYZIGR
https://enpkg.commons-lab.org/kg/lcms_feature_mzspec:MSV000087728:VGF156_A06_features_ms2_pos.mgf:scan:139,3.56325,https://enpkg.commons-lab.org/kg/ACHDMUPTZYZIGR,https://enpkg.commons-lab.org/kg/lcms_feature_mzspec:MSV000087728:VGF156_A06_features_ms2_neg.mgf:scan:172,4.411600000000001,https://enpkg.commons-lab.org/kg/ACHDMUPTZYZIGR
