submittedTaxon
Datura metel
Adenia olaboensis
Boscia longifolia
Anthocleista longifolia
Carissa bispinosa
Brunfelsia grandiflora
Combretum coccineum
Dolichandrone spathacea
Baliospermum solanifolium
Lespedeza capitata
Lindenbergia philippensis
Vachellia harmandiana
Aquilaria agallocha
Knema oblongifolia
Pandanus amaryllifolius
Catharanthus ovalis
Mallotus nudiflorus
Senna alexandrina
Terminalia acuminata
Dracaena draco
Aglaia simplicifolia
Bauhinia ornata
Typhonium trilobatum
Dieffenbachia seguine
Solidago virgaurea
Selenicereus grandiflorus
Stauntonia brunoniana
Euonymus sanguineus
Mussaenda sanderiana
Pachygone odorifera
Aporosa planchoniana
Euphorbia tirucalli
Ajuga forrestii
Plumeria rubra
Ailanthus triphysa
Syzygium cumini
Croton thorelii
Aphanamixis polystachya
Glycosmis cochinchinensis
Zanthoxylum austrosinense
Catharanthus lanceus
Ixora macrothyrsa
Alchornea rugosa
Uncaria homomalla
Eryngium yuccaefolium
Hymenodictyon flaccidum
Cnestis palala
Scindapsus officinalis
Amaranthus tricolor
Gossypium herbaceum
Physalis peruviana
Gynandropsis gynandra
Pavetta indica
Sesbania bispinosa
Pentace burmanica
Chromolaena odorata
Clerodendrum chinense
Albizia vialeana
Pandanus odorifer
Clerodendrum paniculatum
Aegle marmelos
Pluchea indica
Castanopsis indica
Cymbidium aloifolium
Alpinia galanga
Halopegia blumei
Caesalpinia digyna
Dracaena cochinchinensis
Acacia cognata
Spondias lakonensis
Gouania leptostachya
Plumbago indica
Ocimum tenuiflorum
Alocasia macrorrhizos
Helicteres isora
Microcos tomentosa
Amorphophallus paeoniifolius
Phyllanthus acidus
Amaranthus viridis
Rhaphidophora decursiva
Clematis chrysocoma
Benkara depauperata
Antidesma cochinchinense
Lagerstroemia spinosa
Lygodium salicifolium
Omphalea bracteata
Nymphaea lotus
Passiflora edulis
Phyllanthus pulcher
Adina cordifolia
Entada phaseoloides
Alisma plantago-aquatica
Solanum stramonifolium
Buchanania cochinchinensis
Donax canniformis
Eryngium yuccifolium
Bulbophyllum odoratissimum
Helwingia omeiensis
Pterocymbium dussaudii
Abelmoschus manihot
Citrus hystrix
Schisandra propinqua
Callerya cinerea
Pteridium excelsum
Alpinia chinensis
Elsholtzia fruticosa
Salix guebriantiana
Begonia palmata
Enkianthus quinqueflorus
Cyathula prostrata
Cupressus duclouxiana
Vitis vexillata
Actinidia rubricaulis
Carya kweichowensis
Neocinnamomum delavayi
Ilex macrocarpa
Angelica anomala
Caragana rosea
Ilex szechwanensis
Gaultheria cuneata
Berberis julianae
Dillenia indica
Kerria japonica
Iris lactea
Citrus cavaleriei
Magnolia delavayi
Clinopodium megalanthum
Polygonatum cyrtonema
Eucalyptus saligna
Aucuba himalaica
Paris verticillata
Ixeris chinensis
Clitoria ternatea
Jasminum polyanthum
Kadsura coccinea
Polygonum plebejum
Colocasia esculenta
Cissampelopsis buimalia
Pouzolzia sanguinea
Spermacoce alata
Clitoria macrophylla
Pueraria montana
Saussurea amara
Sambucus adnata
Lobelia seguinii
Rheum rhabarbarum
Geum rivale
Acalypha siamensis
Thalictrum delavayi
Trichosanthes dunniana
Viola yunnanfuensis
Pyrrosia davidii
Macrosolen cochinchinensis
Hymenocallis littoralis
Globba winitii
Sanicula astrantiifolia
Senna timoriensis
Sambucus racemosa
Argentina lineata
Selaginella davidii
Laggera crispata
Satyrium nepalense
Wisteria brachybotrys
Phtheirospermum japonicum
Rheum officinale
Wahlenbergia marginata
Parochetus communis
Hopea chinensis
Amalocalyx microlobus
Ainsliaea pertyoides
Kadsura interior
Mischocarpus pentapetalus
Irvingia malayana
Eriocapitella rivularis
Parashorea dussaudii
Gymnotheca chinensis
Dichrocephala integrifolia
Palaquium annamense
Galium asperifolium
Paspalum scrobiculatum
Nauclea orientalis
Limnophila laotica
Clerodendrum indicum
Coptis omeiensis
Chloranthus holostegius
Indigofera amblyantha
Aleuritopteris argentea
Cynoglossum furcatum
